precinct,yes1,no1,yes2,no2,yes3,no3,yes4,no4,yes5,no5,yes6,no6,yes7,no7,yes8,no8,yes9,no9,yes10,no10,yes11,no11,yes12,no12,yes13,no13,yes14,no14,yes15,no15,yes16,no16,yes17,no17,yes18,no18,yes.dance,no.dance
1,142,62,145,58,138,66,137,63,129,72,118,70,121,74,94,96,99,77,96,74,151,38,152,52,148,54,94,103,73,123,57,136,58,139,49,136,25,176
2,149,41,148,41,144,40,141,39,141,42,120,47,138,35,100,65,104,56,100,62,138,35,136,45,134,45,85,97,48,125,34,138,36,135,29,137,24,153
3,113,39,114,35,110,41,111,40,95,55,98,47,106,46,66,69,68,56,70,57,118,20,109,41,105,43,91,61,55,89,52,87,60,90,37,106,26,116
4,54,18,53,22,55,17,53,18,48,25,46,23,43,27,34,31,46,23,41,27,59,9,58,16,57,16,37,34,34,35,22,47,23,50,17,55,5,61
5,95,39,100,34,96,39,95,36,80,47,86,41,80,53,59,61,76,55,69,55,112,17,88,50,83,52,66,67,40,96,46,87,51,87,28,100,6,128
6,136,51,135,50,137,46,136,48,112,66,120,65,101,84,62,112,112,57,105,69,170,18,152,42,143,45,102,88,70,116,51,133,57,131,35,145,17,168
7,187,42,181,43,182,42,179,43,166,55,152,64,124,97,82,130,148,57,140,63,196,16,179,44,173,49,105,122,90,133,53,170,60,163,40,173,11,232
8,142,149,133,57,141,43,136,46,120,62,113,56,86,99,59,119,121,63,101,62,171,15,158,37,152,42,119,71,95,93,56,126,60,123,47,117,9,174
9,90,49,87,50,95,33,88,48,81,55,80,52,75,60,53,70,63,58,75,49,116,17,121,24,117,28,91,49,78,55,51,80,53,82,47,86,34,97
10,105,51,101,48,109,36,100,48,94,55,88,46,102,47,77,61,72,48,76,57,114,28,105,51,96,58,90,36,66,72,53,76,52,81,52,78,36,94
11,60,32,65,29,59,34,57,37,64,38,51,40,61,31,47,45,39,44,41,36,69,13,65,23,66,24,55,33,40,48,40,50,38,55,32,58,23,51
12,80,46,81,43,81,40,79,40,75,41,73,36,91,31,70,41,53,41,49,47,79,28,84,37,81,38,57,62,44,68,40,82,42,81,37,84,41,64
13,16,10,14,11,17,8,15,9,16,8,15,8,15,10,11,10,12,7,9,8,9,8,15,6,15,5,7,14,8,11,7,12,9,11,6,12,9,11
14,69,48,70,49,67,50,69,46,65,53,65,47,74,41,60,53,42,57,38,52,68,36,79,44,72,52,50,67,42,71,47,74,49,70,33,80,39,57
15,93,72,93,72,97,69,91,69,87,73,72,51,94,71,69,65,54,59,56,75,109,38,114,56,108,59,105,57,75,82,69,67,72,66,58,70,55,106
16,89,43,87,45,88,45,88,43,86,46,81,45,82,46,64,57,68,50,66,46,102,21,92,36,92,35,68,62,51,70,43,85,49,78,40,85,26,95
17,83,55,85,55,86,52,86,51,83,54,75,56,91,50,56,74,64,58,62,57,109,25,102,44,99,44,84,63,63,71,51,82,58,85,39,88,23,118
18,85,31,80,35,84,30,77,37,77,34,69,41,78,31,62,40,47,40,45,38,68,20,78,27,77,31,57,48,36,68,36,72,35,70,27,74,25,78
19,73,55,74,53,71,57,68,58,64,60,57,64,68,56,50,75,54,63,49,65,102,21,84,49,79,50,88,44,65,65,58,66,61,70,55,71,36,86
20,86,63,82,63,83,63,83,62,80,69,66,76,79,67,52,85,58,78,57,67,128,22,117,41,112,47,94,64,72,78,70,80,76,74,63,82,37,114
21,85,43,82,45,85,43,85,42,77,42,80,39,94,33,77,45,39,58,39,56,79,31,87,37,78,41,57,67,52,68,42,76,48,78,38,80,37,67
