Precinct,Ward,Yes,No,Blank,Lucey.D,Peterson.R
A,1,225,277,87,320,259
B,1,316,305,66,285,392
C,1,574,428,79,430,582
D,1,671,508,104,561,717
E,1,822,496,106,461,951
A,2,299,343,89,384,345
B,2,395,423,81,450,434
C,2,264,449,86,503,283
D,2,617,517,106,586,642
A,3,444,330,69,251,578
B,3,677,546,115,448,889
C,3,446,263,57,166,595
D,3,692,327,82,219,883
E,3,884,454,92,296,1131
A,4,300,432,95,447,372
B,4,416,415,95,433,481
C,4,602,428,94,278,832
A,5,379,564,181,732,374
B,5,616,675,129,617,789
C,5,401,569,140,590,593
A,6,237,389,95,414,300
B,6,479,479,110,519,518
C,6,471,364,139,376,560
D,6,759,522,114,484,805
A,7,306,358,99,440,309
B,7,442,317,90,373,463
C,7,348,415,109,424,433
D,7,592,427,72,393,889
E,7,696,472,97,336,896
