"","icpsr.state.code","icpsr.county.code","name","year","totpop","urb25","mfgestab","nonwhitepct","fmratio","forbornpct","rentownratio","irishbornpct","area","popdens","litvappct","urb25pct","dtotpop","darea","durb25","dmfgestab","dnonwhitepct","dfmratio","dforbornpct","drentownratio","dpopdens","dlitvappct","dirishbornpct","durb25pct"
"7",13,10,"ALBANY",1890,164555,94923,1874,0.008708335,1.07102,0.2264714,2.479521,0.09522044,NA,NA,NA,0.5768466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",13,10,"ALBANY",1900,165571,94151,2251,0.00940986,1.075111,0.1904379,2.61449,0.06391216,528,313.5814,0.9843313,0.5686443,0.006174227,NA,-0.008132908,0.201174,0.0007015258,0.004090165,-0.03603345,0.1349687,NA,NA,-0.03130828,-0.00820238
"147",13,10,"ALBANY",1910,173666,100253,NA,0.007335921,1.056728,0.1883616,2.497658,0.04167194,527,329.537,0.9509218,0.5772748,0.04889141,-0.001893939,0.06481078,NA,-0.00207394,-0.01838259,-0.002076371,-0.1168317,15.95556,-0.03340948,-0.02224021,0.008630501
"219",13,10,"ALBANY",1920,186106,113344,577,0.008645611,1.057602,0.1575554,1.960471,0.0253189,527,353.1423,0.641543,0.6090293,0.07163175,0,0.1305796,NA,0.00130969,0.0008741447,-0.0308062,-0.5371867,23.60531,-0.3093788,-0.01635304,0.03175449
"291",13,10,"ALBANY",1930,211953,127412,370,0.01349356,1.035856,0.1404085,1.293465,0.01408331,527,402.1879,0.8322128,0.6011333,0.1388832,0,0.1241177,-0.3587522,0.004847947,-0.02174585,-0.01714688,-0.6670061,49.04554,0.1906698,-0.01123559,-0.007895993
"363",13,10,"ALBANY",1940,221315,130577,306,0.01585523,1.041651,0.1131871,1.569705,0.008160314,531,416.7891,NA,0.5900052,0.04417017,0.007590133,0.02484067,-0.172973,0.002361671,0.005794986,-0.0272214,0.2762399,14.60122,NA,-0.005922996,-0.01112807
"435",13,10,"ALBANY",1950,239386,134995,NA,0.02625885,1.063939,0.08740695,NA,0.006972003,531,450.8211,NA,0.5639219,0.08165285,0,0.03383444,NA,0.01040362,0.02228801,-0.02578014,NA,34.03202,NA,-0.001188311,-0.02608333
"62",66,10,"BERNALILLO",1890,20913,0,9,0.184622,0.8396376,0.07684216,0.7036167,0.01123703,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134",66,10,"BERNALILLO",1900,28630,0,119,0.1797066,0.8649036,0.08208173,0.778745,0.006566539,8842,3.237955,0.6768922,0,0.3690049,NA,NA,12.22222,-0.004915404,0.02526602,0.005239577,0.07512829,NA,NA,-0.004670491,0
"206",66,10,"BERNALILLO",1910,23606,0,NA,0.0645175,0.9588416,0.08010675,0.9588091,0.004448022,1214,19.44481,0.834914,0,-0.1754803,-0.8627007,NA,NA,-0.1151891,0.09393799,-0.00197498,0.1800641,16.20686,0.1580218,-0.002118517,0
"278",66,10,"BERNALILLO",1920,29855,0,57,0.0400268,0.9720589,0.06581812,0.846483,0.002210685,1214,24.59226,0.4596885,0,0.2647208,0,NA,NA,-0.0244907,0.01321733,-0.01428863,-0.1123261,5.147446,-0.3752256,-0.002237337,0
"350",66,10,"BERNALILLO",1930,45430,26570,47,0.06524323,1.020368,0.03237948,0.7589412,0.0009465111,1214,37.42175,0.6971825,0.5848558,0.5216882,0,Inf,-0.1754386,0.02521644,0.04830931,-0.03343864,-0.08754178,12.82949,0.237494,-0.001264174,0.5848558
"422",66,10,"BERNALILLO",1940,69391,35449,54,0.03617184,1.022707,0.03137294,0.7596846,0.0006773213,1163,59.66552,NA,0.5108588,0.5274268,-0.04200988,0.3341739,0.1489362,-0.02907139,0.002339169,-0.00100654,0.0007434088,22.24377,NA,-0.0002691898,-0.07399707
"494",66,10,"BERNALILLO",1950,145673,96815,NA,0.02856398,0.976594,0.02293493,NA,0.0005834987,1163,125.2562,NA,0.664605,1.099307,0,1.731107,NA,-0.007607862,-0.04611341,-0.008438015,NA,65.59071,NA,-9.382261e-05,0.1537462
"63",71,10,"ALAMEDA",1890,93864,48682,419,0.04586423,0.8791592,0.3296898,1.180103,0.0595649,NA,NA,NA,0.518644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135",71,10,"ALAMEDA",1900,130197,66960,1166,0.03659839,0.9678219,0.2790003,1.151489,0.04059233,764,170.4149,0.9918805,0.5142976,0.3870813,NA,0.375457,1.782816,-0.009265844,0.08866274,-0.05068948,-0.02861326,NA,NA,-0.01897257,-0.004346431
