city,state,icpsr.state.code,year,icpsr_ctname,icpsr.county.code,haspr,ineffect,adoptyear,govyear,census.year,diss.case,confederacy,trounstine.dominance,debt1913oradopt,netdebtadopt,sinking1913oradopt,by.ordinance,prior.control,prior.lower.size,to.lower.size,from_form,to_form,dhomerule_st,dmerit,daustralian,ddirectprimary,Pop,Unempt_1,ManuPCt_1,RetlPCt_1,Fiscalt_1,NonWhiteRatiot_1,LnPopt_1,ChgPop,OwHoust_1,VtRept_1,YrCityAget_1,RegEast,RegMidWest,RegWest,YrFounded,YrCityAge,gui,ChgGovForm,White,Labor,Emp,Unemp,GovEmp,GovRev,GovExp,Manu,VlManu,Retl,SlRetl,Whol,SlWhol,Hous,OwHous,OcHous,OwOcu,VtRep,CYr25000,CYr10000,AdptYr25000,WhiteRatio,ChgWhite,NonWhite,NonWhiteRatio,Region,_Iyear_1935,_Iyear_1940,_Iyear_1945,_Iyear_1950,_Iyear_1955,_Iyear_1960,_Iyear_1965,_Iyear_1970,_Iyear_1975,_Iyear_1980,_Iyear_1985,_Iyear_1990,_Iyear_1995,_Iyear_2000,_Iyear_2005
Amarillo,TX,49,1915,POTTER,3750,0,1913,,1912,1910,1,1,0,240900,,13499,,,MC8,,,2,1912,1941,1892,1905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phoenix,AZ,61,1915,MARICOPA,130,0,1914,,1914,1910,1,0,0,1679352,,75161,,,,,,2,1912,1940,1891,1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton,OH,24,1915,MONTGOMERY,1130,0,1914,1913,1912,1910,1,0,0,6225864,,218567,,,,,,2,1912,1913,1891,1908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Springfield,OH,24,1915,CLARK,230,0,1914,1913,1912,1910,1,0,0,2597729,,219039,,,,,,2,1912,1913,1891,1908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bakersfield,CA,71,1915,KERN,290,0,1915,1914,1914,1910,1,0,0,780500,,0,,,,,,2,1879,1913,1891,1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Jose,CA,71,1920,SANTA CLARA,850,0,1916,1915,1914,1910,1,0,0,1208194,,10977,,,,,,2,1879,1913,1891,1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newburgh,NY,13,1920,ORANGE,710,0,1916,1915,1914,1910,1,0,0,1286670,,22338,,,,,,2,1923,1883,1895,1913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wichita,KS,32,1920,SEDGWICK,1730,0,1917,1917,1916,1910,1,0,0,4643127,,0,,,,,3,2,1960,1941,1893,1908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Rapids,MI,23,1920,KENT,810,0,1917,1916,1916,1910,1,0,0,4769361,,214627,,,,,,2,1908,1937,1891,1905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lubbock,TX,49,1920,LUBBOCK,3030,0,1917,1916,1916,1910,1,1,0,,,,,,,,,2,1953,1937,1889,1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portsmouth,VA,40,1920,PORTSMOUTH CITY,7400,0,1917,1915,1913,1910,1,1,0,1847800,,26082,,,,,,2,NA,1942,1894,1912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wheeling,WV,56,1920,OHIO,690,0,1917,1915,1912,1910,1,0,0,1282048,,162039,,,,,,2,1936,1940,1891,1915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albuquerque,NM,66,1920,BERNALILLO,10,0,1918,1917,1916,1910,1,0,0,647000,,0,,,,,,2,1949,1940,1905,1938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norfolk,VA,40,1920,NORFOLK CITY,7100,0,1918,1917,1917,1910,1,1,0,9416806,,1185227,,,,,,2,NA,1942,1894,1912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anaheim,CA,71,1920,ORANGE,590,0,1919,1919,1918,1910,1,0,0,,,,1,,,,,2,1879,1913,1891,1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dubuque,IA,31,1920,DUBUQUE,610,0,1920,1920,1918,1920,1,0,0,658782,,,,,,,,2,NA,1939,1891,1907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auburn,NY,13,1920,CAYUGA,110,0,1920,1919,1918,1910,1,0,0,836642,,84061,,,,,,2,1923,1883,1895,1913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Watervliet,NY,13,1920,ALBANY,10,0,1920,1919,1918,1910,1,0,0,1079335,,146324,,,,,,2,1923,1883,1895,1913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akron,OH,24,1920,SUMMIT,1530,0,1920,1918,1918,1910,1,0,0,9081468,,977393,,,,,,2,1912,1913,1891,1908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lynchburg,VA,40,1920,LYNCHBURG CITY,6800,0,1920,,1917,1910,1,1,0,2994300,,278649,,,,,,2,NA,1942,1894,1912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petersburg,VA,40,1920,PETERSBURG CITY,7300,0,1920,1917,1917,1910,1,1,0,1415000,,638642,,,,,,2,NA,1942,1894,1912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glendale,CA,71,1920,LOS ANGELES,370,0,1921,,1918,1910,1,0,0,502000,,,,,,,,2,1879,1913,1891,1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Beach,CA,71,1920,LOS ANGELES,370,0,1921,,1918,1910,1,0,0,1948864,,96654,,,,,3,2,1879,1913,1891,1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado Springs,CO,62,1920,EL PASO,410,0,1921,1920,1918,1920,1,0,0,1615392,,44724,,,,,3,2,1902,1940,1891,1910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sacramento,CA,71,1925,SACRAMENTO,670,1,1921,1920,1918,1920,1,0,0,5207277,5191536,15741,,,,,3,2,1879,1913,1891,1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
