Oct-47;Office;Ward;Precinct;Loughlin;Obrien;Sullivan;Sweeney;Blank;Peterson;Wimelow;Burke ;Kamyck;Kelley;Wells ;Nall;McManus;Shea;Tomaiolo;Fitzgerald;Grigantis;Lavin;Sweeney;Troy;Wane;Obrien2;Belton;Kane;Doyle;Farrell;Lajone;Mulbury;Lynch;Brodrick;Gordon;Rich;Tilton;Bjorneman;Mayor;Alaine;Burgerstrom;Bretwalton;King;Doherty;Tilton2;Backerman;Doridoon;Ladd;Lamphell
Dem;Mayor;1;1;20;27;105;2;1;;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dem;Mayor;1;2;6;7;43;3;1;;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dem;Mayor;1;3;3;2;74;1;3;;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dem;Mayor;1;4;11;5;30;1;1;;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dem;Mayor;1;5;14;6;40;1;1;;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dem;Mayor;1;6;5;11;32;0;1;;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dem;Mayor;1;7;5;9;18;1;0;;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dem;Mayor;1;8;11;10;31;0;3;;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dem;Mayor;2;1;19;27;77;2;4;;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dem;Mayor;2;2;5;6;36;2;3;;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dem;Mayor;2;3;20;41;108;0;3;;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dem;Mayor;2;4;30;43;88;0;2;;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dem;Mayor;2;5;9;15;52;1;2;;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dem;Mayor;2;6;32;21;93;2;9;;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dem;Mayor;2;7;16;21;48;3;0;;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dem;Mayor;2;8;10;14;37;3;1;;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dem;Mayor;3;1;226;120;418;34;17;;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dem;Mayor;3;2;40;61;171;5;11;;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dem;Mayor;3;3;124;94;549;20;78;;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dem;Mayor;3;4;89;112;416;13;46;;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dem;Mayor;3;5;15;28;120;6;7;;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dem;Mayor;3;6;92;57;173;2;13;;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
