Ward;Precinct;Mayor.Dem;Mayor.Rep;PlanE.Yes;PlanE.No;diff.in.total;mayor.abstainer;plane.abstainer;Mayor.None;PlanE.None
1;1;471;319;584;369;-163;1;0;163;0
1;2;274;437;536;148;27;0;1;0;27
1;3;379;743;882;217;23;0;1;0;23
1;4;279;949;999;179;50;0;1;0;50
1;5;282;403;883;160;-358;1;0;358;0
1;6;239;954;1042;122;29;0;1;0;29
1;7;234;760;843;125;26;0;1;0;26
1;8;244;338;604;141;-163;1;0;163;0
2;1;143;439;551;286;-255;1;0;255;0
2;2;306;391;469;94;134;0;1;0;134
2;3;431;587;674;336;8;0;1;0;8
2;4;471;911;1014;333;35;0;1;0;35
2;5;387;292;368;172;139;0;1;0;139
2;6;412;429;481;261;99;0;1;0;99
2;7;484;869;1048;246;59;0;1;0;59
2;8;244;324;610;206;-248;1;0;248;0
3;1;794;169;299;551;113;0;1;0;113
3;2;542;168;325;214;171;1;0;0;171
3;3;710;140;218;535;97;0;1;0;97
3;4;589;324;537;425;-49;1;0;49;0
3;5;314;317;395;197;39;0;1;0;39
3;6;484;230;352;297;65;0;1;0;65
3;7;290;205;282;161;52;0;1;0;52
3;8;768;114;249;473;160;0;1;0;160
4;1;974;117;514;543;34;0;1;0;34
4;2;634;203;430;308;99;0;1;0;99
4;3;783;303;353;189;544;0;1;0;544
4;4;534;210;347;322;75;0;1;0;75
4;5;463;309;463;246;63;0;1;0;63
4;6;591;389;453;365;162;0;1;0;162
4;7;721;190;450;353;108;0;1;0;108
4;8;393;144;262;209;66;0;1;0;66
4;9;303;177;329;286;-135;0;1;135;0
4;10;371;98;217;165;87;0;1;0;87
5;1;163;147;286;367;-343;1;0;343;0
5;2;734;204;442;468;28;0;1;0;28
5;3;787;298;485;455;145;0;1;0;145
5;4;406;349;285;267;203;0;1;0;203
5;5;743;279;496;424;102;0;1;0;102
5;6;811;276;426;488;173;0;1;0;173
5;7;534;132;307;272;87;0;1;0;87
6;1;402;543;490;266;189;1;0;0;189
6;2;538;255;380;330;83;0;1;0;83
6;3;575;224;343;364;92;0;1;0;92
6;4;261;733;758;190;46;0;1;0;46
6;5;608;478;616;216;254;0;1;0;254
6;6;616;419;657;254;124;0;1;0;124
6;7;731;349;535;428;117;0;1;0;117
6;8;209;508;503;144;70;0;1;0;70
7;1;475;253;384;304;40;0;1;0;40
7;2;568;421;557;393;39;0;1;0;39
7;3;305;369;476;249;-51;1;0;51;0
7;4;715;317;709;448;-125;1;0;125;0
7;5;508;457;566;327;72;0;1;0;72
7;6;425;252;393;313;-29;0;1;29;0
7;7;621;837;1022;342;94;0;1;0;94
7;8;557;339;438;220;238;0;1;0;238
8;1;426;363;409;254;126;0;1;0;126
8;2;558;265;390;355;78;0;1;0;78
8;3;430;374;518;382;-96;1;0;96;0
8;4;547;464;613;343;55;0;1;0;55
8;5;543;246;356;202;231;0;1;0;231
8;6;415;235;355;258;37;0;1;0;37
9;1;468;262;530;390;-190;1;0;190;0
9;2;513;547;630;322;108;0;1;0;108
9;3;580;442;608;305;109;0;1;0;109
9;4;560;491;702;286;63;0;1;0;63
9;5;525;600;797;286;42;0;1;0;42
9;6;407;478;683;171;31;1;0;0;31
9;7;431;703;915;205;14;0;1;0;14
10;1;498;842;937;328;75;0;1;0;75
10;2;574;571;744;333;68;0;1;0;68
10;3;368;250;330;233;55;1;0;0;55
10;4;321;572;737;137;19;0;1;0;19
10;5;392;992;1128;250;6;0;1;0;6
10;6;204;436;565;161;-86;0;1;86;0
10;7;344;437;613;190;-22;1;0;22;0
