city,state,country,year,repealer,recount_later,m,quota_auto,quota,tvp,invalid,total,rounds,first_choice_cutoff,n_cand,n_incumb,n_incumb_win,rw_slate_data,computer
Cambridge,MA,USA,1941,NA,0,9,3487,3487,34868,385,35553,77,NA,NA,NA,NA,NA,0
Cambridge,MA,USA,1943,NA,0,9,2506,2506,25055,1107,26162,34,NA,NA,NA,NA,NA,0
Cambridge,MA,USA,1945,NA,1,9,3277,3278,32771,1355,34126,30,NA,NA,NA,NA,NA,0
Cambridge,MA,USA,1947,NA,0,9,3743,3744,37434,1263,38697,26,NA,NA,NA,NA,NA,0
Cambridge,MA,USA,1949,NA,0,9,3894,3895,38943,1603,40546,33,NA,NA,NA,NA,NA,0
Cambridge,MA,USA,1951,NA,0,9,3601,3602,36005,1247,37252,20,NA,NA,NA,NA,NA,0
Cambridge,MA,USA,1953,NA,0,9,3765,3766,37653,1347,39000,26,NA,NA,NA,NA,NA,0
Cambridge,MA,USA,1955,NA,0,9,3623,3624,36232,1139,37371,31,NA,NA,NA,NA,NA,0
Cambridge,MA,USA,1957,NA,0,9,3439,3440,34391,973,35364,27,NA,NA,NA,NA,NA,0
Cambridge,MA,USA,1959,NA,0,9,3337,3338,33372,915,34287,18,NA,NA,NA,NA,NA,0
Cambridge,MA,USA,1961,NA,0,9,3241,3241,32407,832,33239,9,1000,NA,NA,NA,NA,0
Cambridge,MA,USA,1963,NA,0,9,3197,3197,31968,970,32938,10,400,NA,NA,NA,NA,0
Cambridge,MA,USA,1965,NA,0,9,3099,3100,30992,827,31819,11,300,NA,NA,NA,NA,0
Cambridge,MA,USA,1967,NA,0,9,3051,3052,30512,870,31382,11,300,NA,NA,NA,NA,0
Cambridge,MA,USA,1969,NA,1,9,2498,2499,24982,631,25613,17,50,NA,NA,NA,NA,0
Cambridge,MA,USA,1971,NA,1,9,2963,2964,29631,769,30400,24,NA,NA,NA,NA,1,0
Cambridge,MA,USA,1973,NA,0,9,2576,2577,25760,481,26241,17,NA,NA,NA,NA,1,0
Cambridge,MA,USA,1975,NA,0,9,2739,2739,27387,582,27969,16,NA,NA,NA,NA,1,0
Cambridge,MA,USA,1977,NA,0,9,2322,2322,23216,377,23593,16,NA,NA,NA,NA,1,0
Cambridge,MA,USA,1979,NA,0,9,2637,2638,26370,538,26908,15,NA,NA,NA,NA,1,0
Cambridge,MA,USA,1981,NA,0,9,2476,2504,24757,539,25569,13,NA,NA,NA,NA,1,0
Cambridge,MA,USA,1983,NA,0,9,2858,2899,28582,1072,30053,13,NA,NA,NA,NA,NA,0
Cambridge,MA,USA,1985,NA,0,9,2385,2385,23847,546,24393,18,NA,NA,NA,NA,NA,0
Cambridge,MA,USA,1987,NA,0,9,2337,2338,23371,489,23860,12,NA,NA,NA,NA,NA,0
Cambridge,MA,USA,1989,NA,0,9,2695,2696,26949,644,27593,19,NA,NA,NA,NA,NA,0
Cambridge,MA,USA,1991,NA,0,9,2297,2298,22972,363,23334,13,NA,NA,NA,NA,NA,0
Cambridge,MA,USA,1993,NA,0,9,2181,2182,21813,327,22140,18,NA,NA,NA,NA,NA,0
Cambridge,MA,USA,1995,NA,0,9,1886,1887,18863,320,19183,13,NA,NA,NA,NA,NA,0
Cambridge,MA,USA,1997,NA,0,9,1688,1688,16879,350,17229,15,NA,NA,NA,NA,NA,1
Cambridge,MA,USA,1999,NA,0,9,1878,1878,18777,384,19161,14,NA,NA,NA,NA,NA,1
Cambridge,MA,USA,2001,NA,0,9,1713,1713,17126,562,17688,14,NA,NA,NA,NA,NA,1
Cambridge,MA,USA,2003,NA,0,9,2008,2009,20080,878,20958,13,NA,NA,NA,NA,NA,1
Cambridge,MA,USA,2005,NA,0,9,1607,1608,16070,132,16202,11,NA,NA,NA,NA,NA,1
Cambridge,MA,USA,2007,NA,0,9,1363,1364,13633,88,13721,10,NA,NA,NA,NA,NA,1
Cambridge,MA,USA,2009,NA,0,9,1596,1596,15955,118,16073,17,50,NA,NA,NA,NA,1
Cambridge,MA,USA,2011,NA,0,9,1585,1585,15845,126,15971,14,NA,NA,NA,NA,NA,1
Cambridge,MA,USA,2013,NA,0,9,#VALUE!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
