ward,Adams,Alter,Bechtold,Berning,Bigelow,Broeman,Carter,Conrad,Cushman,Duderstadt,Dunlap,Engelbert,Frankenstein,Friedlander,Gradison,Greer,Imbus,Kane,Klein,Matthews,McClain,Niemeyer,O’Donovan,Parkin,Robinson,Schultz,Shearer,Stewart,Walker,Weller,WilsonJA,WilsonR,Wuest,repeal.yes,repeal.no
1,342,5,62,10,677,29,3,6,35,2,153,23,6,70,213,4,113,176,218,46,184,39,10,1,31,12,3,276,9,58,294,728,35,967,882
2,522,13,51,8,897,76,9,9,6,7,289,48,12,160,258,1,101,418,235,75,233,79,7,3,75,11,3,323,27,117,303,1324,52,1365,1563
3,163,19,104,4,846,68,2,4,3,4,469,155,9,159,348,1,204,409,188,110,127,77,14,2,83,8,5,374,3,57,405,1636,72,1349,1911
4,265,10,88,4,592,100,0,4,3,4,508,38,5,242,388,1,88,366,107,79,21,80,1,2,85,8,4,566,2,47,312,1935,88,1385,1685
5,322,16,56,4,600,131,1,5,16,2,494,50,8,219,343,4,106,203,113,112,21,47,10,7,70,14,5,317,4,30,345,1781,65,1211,1717
6,200,15,163,17,940,27,24,13,15,7,279,22,14,79,246,22,135,919,408,49,357,59,39,14,41,9,8,284,13,45,203,675,44,1912,1460
7,184,5,172,6,685,12,19,9,7,8,59,30,14,35,164,12,66,113,451,53,204,42,15,6,33,8,4,234,24,67,182,354,18,1143,818
8,154,14,139,10,984,46,4,4,21,11,240,26,10,95,247,3,117,454,192,220,86,54,13,7,47,12,9,220,7,57,244,897,72,1205,1650
9,105,17,51,8,546,50,33,77,16,7,185,17,20,252,372,21,88,169,161,107,1587,41,8,5,45,4,4,251,45,47,141,1304,52,1377,1663
10,330,1,132,14,1190,35,4,5,13,17,125,29,5,37,192,9,107,222,629,166,78,83,8,3,38,5,12,702,5,130,184,563,35,1596,1255
11,517,6,108,12,1541,48,1,0,11,16,163,33,9,107,214,3,155,273,465,159,18,220,8,7,41,10,9,486,2,117,341,1076,69,1491,1752
12,414,2,90,18,1258,60,1,2,9,9,233,46,7,185,778,2,149,230,341,135,34,187,4,6,64,10,5,407,3,80,296,1326,130,1813,1804
13,73,8,39,6,270,70,3,2,42,29,140,9,29,1656,1683,1,72,100,219,86,112,25,5,12,49,3,1,115,4,23,156,1300,54,1138,2123
14,291,12,318,10,723,67,4,6,4,34,448,34,7,143,378,4,191,214,153,92,26,87,4,4,675,6,7,428,6,78,209,1771,69,1351,1791
15,322,8,84,14,802,98,0,3,9,13,196,39,8,404,579,2,110,222,341,356,130,167,7,6,98,3,4,376,7,55,162,1572,336,1648,2082
16,59,8,14,6,137,22,290,71,11,5,30,13,4,16,63,30,142,73,129,68,4558,26,10,9,12,8,9,56,172,16,52,117,13,3102,719
17,81,9,163,13,286,16,81,19,12,2,72,14,7,24,265,10,85,160,238,26,1145,28,14,7,8,6,5,86,62,40,104,180,11,1060,328
18,161,10,129,19,760,23,39,15,14,9,86,18,2,30,122,17,77,220,450,256,497,164,11,3,22,3,6,211,27,93,119,282,22,1237,943
19,182,5,32,6,736,23,0,5,15,6,65,6,4,42,140,4,334,203,556,34,42,77,12,2,17,5,6,285,9,78,144,418,15,918,808
20,247,1,105,13,1579,47,2,6,9,5,191,19,6,63,259,0,1294,664,256,61,36,148,12,3,33,3,5,290,2,57,156,738,36,1281,1868
21,436,3,88,12,957,108,2,3,2,7,61,17,9,25,112,1,183,215,344,29,46,392,3,2,23,15,3,170,2,45,772,460,26,1121,1400
22,312,8,60,16,863,26,7,5,9,11,65,15,10,29,171,42,111,233,452,29,165,290,4,2,19,9,1,354,7,75,291,410,17,1122,842
23,336,7,76,12,980,67,5,3,8,11,362,35,7,126,422,6,175,286,379,108,53,181,2,2,41,7,3,500,5,76,202,1362,111,1438,1720
24,709,8,22,4,696,41,0,1,8,6,115,24,4,108,189,7,81,58,203,186,19,72,4,2,32,2,6,180,9,54,195,831,35,936,956
25,160,8,100,9,930,75,0,0,5,4,153,18,6,71,232,1,1044,721,209,40,37,109,9,3,21,6,13,159,0,43,151,669,29,1053,1513
26,205,11,32,3,851,604,4,1,2,9,104,27,9,82,207,6,323,207,271,50,13,1357,5,2,39,5,1,338,1,51,163,888,54,1586,1399
