ward,Abrams,Arend,Beamon,Beebe,Berman,Carter,Cash,Conrad,Corbly,Craig,Dalton,Davies,Dill,Euler,Fagaly,Gradison,Klein,Koch,Linneman,McClain,Molloy,Niemeyer,Normile,Pfau,Rittmeyer,Rose,Scott,Shearer,Shott,Simpson,Stewart,Sullivan,Taft,Urban,Waldvogel,Weller,WilsonR,Wood,Young,Youtcheff,repeal.yes,repeal.no
1,21,2,21,9,101,2,178,41,15,225,24,162,12,16,23,331,376,9,582,165,137,41,34,73,10,145,11,14,7,17,232,26,158,100,263,31,464,21,12,2,1337,1344
2,48,9,45,14,133,6,333,44,38,335,58,409,34,29,34,626,446,51,37,252,244,96,20,128,43,347,4,19,2,24,304,31,359,93,291,98,492,15,9,1,1954,2137
3,37,5,17,22,127,4,398,25,31,279,81,351,43,32,21,640,244,48,27,119,320,80,47,104,31,271,8,29,4,15,291,75,402,188,546,42,928,53,9,2,1796,2556
4,31,1,31,1,103,1,567,15,22,154,65,234,22,23,39,753,155,20,24,16,185,66,25,61,23,585,6,16,7,13,734,26,455,195,267,20,1150,33,4,0,1808,2340
5,28,9,8,6,134,40,496,35,32,198,63,196,16,27,11,681,209,38,64,25,201,55,28,82,22,459,10,8,7,17,260,25,548,224,221,27,1134,29,2,4,1603,2513
6,166,3,33,16,98,15,268,36,20,226,37,70,120,20,8,261,406,221,12,306,1407,39,175,94,31,112,43,15,17,24,146,29,178,45,350,48,356,33,12,3,2138,1839
7,223,5,24,63,127,15,86,46,11,177,40,99,162,20,14,225,554,82,9,327,115,48,16,91,18,61,36,29,11,44,169,56,91,22,179,66,216,30,21,6,1604,1045
8,98,17,16,21,99,2,464,24,65,201,62,146,50,27,20,437,360,28,15,76,372,47,119,93,20,166,13,33,10,32,151,48,280,125,288,33,521,36,5,13,1325,1885
9,97,22,285,11,263,8,205,41,48,184,114,105,29,17,27,490,224,39,13,1780,122,49,26,47,25,224,7,14,29,13,172,28,355,244,221,25,730,35,6,11,1794,2406
10,206,3,10,31,155,9,203,63,18,349,35,90,86,34,6,237,839,52,23,81,182,101,42,109,48,90,48,37,6,48,788,52,94,69,376,85,314,18,152,10,2076,1456
11,281,7,10,20,197,3,228,43,22,497,56,305,45,50,20,557,658,48,8,11,138,238,18,213,29,181,31,60,12,39,366,68,241,102,559,94,638,46,31,10,2190,2042
12,108,7,13,25,317,2,284,42,29,393,85,175,47,41,17,1083,625,40,11,11,255,212,30,130,26,275,16,34,14,20,343,60,353,143,504,66,782,45,25,14,2613,2382
13,152,4,28,7,1964,9,261,9,11,81,44,86,11,11,5,1782,174,8,6,129,107,24,8,32,13,333,5,7,22,6,84,14,327,113,154,24,631,20,5,17,1558,3281
14,114,6,8,5,118,1,510,21,37,364,98,830,23,44,21,982,224,16,20,30,173,114,17,85,205,381,9,21,9,11,287,28,462,130,459,52,1112,37,15,3,1961,2584
15,95,9,21,10,382,3,477,24,15,306,76,200,22,50,8,877,381,20,4,113,153,206,13,94,20,401,9,18,17,21,385,52,506,180,325,41,994,36,11,4,2077,2785
16,256,6,383,2,40,223,148,21,4,34,9,23,11,15,1,105,221,15,24,4321,51,17,24,18,25,23,15,11,7,10,42,22,26,21,48,11,54,17,10,4,3293,1266
17,212,6,92,4,48,29,76,10,15,87,2,14,9,12,11,158,273,18,7,1246,92,32,13,35,11,26,20,9,29,7,37,43,38,13,118,21,77,14,6,7,1525,1117
18,954,6,77,36,103,34,53,33,17,245,15,34,26,29,13,177,543,29,10,563,238,128,10,115,39,48,11,17,13,34,111,84,48,32,192,36,149,54,12,12,1885,1333
19,76,0,9,21,119,4,132,44,12,303,10,65,39,5,21,229,564,22,8,60,123,84,7,85,63,78,9,9,7,77,180,32,66,23,335,25,226,301,21,21,1212,925
20,186,4,16,26,139,2,303,53,24,417,30,84,32,17,25,342,368,27,11,19,230,111,28,153,33,140,3,14,3,140,184,76,124,37,1477,45,365,1123,7,66,1617,2113
21,145,2,6,40,92,1,132,53,6,204,23,46,35,28,9,184,372,11,10,39,113,842,8,98,31,65,11,16,9,39,102,1055,64,27,348,15,231,156,8,19,1391,1197
22,83,1,13,21,139,1,107,49,15,277,11,44,11,28,12,281,586,26,9,158,249,155,15,99,16,60,15,16,8,16,381,347,69,65,351,58,191,47,11,3,1716,940
23,76,9,22,24,107,2,415,33,21,338,80,171,30,33,22,874,536,15,8,62,136,230,14,148,49,263,14,20,20,28,407,125,333,84,584,70,734,36,10,5,2014,2072
24,113,6,11,15,122,2,163,21,15,287,44,132,6,21,16,365,315,14,8,26,79,83,8,108,33,172,5,20,3,14,633,40,188,58,212,37,466,14,10,0,1326,1144
25,128,5,3,9,158,11,191,27,19,190,48,81,28,24,2,261,219,9,9,7,166,119,35,103,33,88,2,13,10,153,118,43,80,28,1216,33,378,1404,6,81,1373,1675
26,68,7,5,53,85,5,316,93,8,244,31,99,20,15,13,306,244,12,7,7,71,2531,15,141,11,156,7,17,3,25,175,142,234,44,534,28,482,195,13,31,2293,1948
