ward,Ahlers,Bachrach,Bain,Becker,Beckman,Benjamin,Berry,Clancy,Dolbey,Faulhaber,Gilligan,Held,Hilton,Hoffman,Jordan,Kelly,Purcell,Render,Rich,Sullivan,Taft,repealyes,repealno
1,56,177,99,84,187,25,208,233,504,5,510,254,66,136,269,641,193,18,1384,170,437,3206,1929
2,69,163,410,92,226,21,841,206,536,7,585,163,56,132,379,1047,195,50,1966,182,609,3909,3060
3,31,154,70,84,198,16,1128,201,189,2,565,167,39,80,210,493,82,50,906,187,405,1877,2566
4,45,195,153,118,295,11,36,125,450,3,545,191,120,244,149,982,221,5,1935,104,579,3755,1900
5,25,259,128,126,246,36,73,142,449,2,608,225,225,142,155,1052,213,5,1285,105,625,3227,2090
6,20,138,37,74,146,22,103,291,115,5,226,58,11,40,438,164,30,7,500,142,197,1427,792
7,46,1831,53,192,206,713,46,166,368,3,358,125,25,64,192,474,133,9,1272,114,661,2985,3071
8,30,99,49,353,178,24,305,151,190,3,402,63,23,60,352,286,35,14,598,175,254,1699,1397
9,19,229,92,104,92,50,2665,64,215,5,265,47,39,62,137,316,54,144,725,62,283,1576,3247
10,29,73,28,106,77,13,206,158,114,9,109,52,8,51,584,390,48,25,476,195,139,1400,926
11,81,331,64,170,219,18,96,250,259,4,200,162,19,82,523,327,83,15,996,320,295,2322,1441
12,56,182,90,179,203,39,103,315,303,7,288,204,32,92,423,605,119,11,1267,228,407,2784,1716
13,14,1216,31,83,115,1034,1797,60,317,2,127,58,24,32,133,162,34,100,522,52,583,1379,4301
14,50,178,69,136,224,29,86,148,445,2,386,160,23,58,127,682,1941,18,1540,114,515,3885,1888
15,73,290,97,111,189,120,799,226,405,3,380,145,86,98,331,694,246,57,1349,162,643,2901,2778
16,9,50,16,19,13,20,2955,34,33,9,21,18,9,42,40,41,9,129,201,25,28,743,2403
17,24,76,27,65,44,15,1937,72,69,6,48,31,13,33,243,73,14,65,267,71,75,777,1791
18,22,48,21,33,42,25,3434,81,48,9,79,48,8,38,120,91,17,101,228,73,60,891,3139
19,22,56,33,22,321,4,32,98,136,5,67,918,3,29,273,151,27,6,438,141,134,1648,811
20,81,99,41,68,1473,11,23,407,137,2,166,612,10,53,319,286,50,6,875,248,184,2406,1751
21,43,76,44,49,413,9,72,877,144,7,107,155,11,54,482,210,44,5,656,265,138,2156,1157
22,52,76,29,62,142,11,406,799,143,5,92,97,13,41,403,192,30,15,657,626,94,1863,1233
23,429,179,87,86,262,16,92,1470,558,9,200,235,49,111,341,785,286,18,2058,300,541,4966,2302
24,58,109,43,38,147,20,57,170,270,55,133,85,23,87,237,754,70,8,928,130,255,1920,1047
25,88,170,42,209,2930,38,18,733,236,5,272,703,21,78,277,483,79,5,1351,280,285,4122,2771
26,88,318,136,197,893,21,33,812,534,3,264,492,21,195,406,1087,277,19,2431,282,574,5719,2550
