Ward,Precinct,pres.prohib,pres.slp,pres.dem,pres.rep,pres.blank,gov.rep,gov.dem,gov.slp,gov.prohib,gov.blank,repeal.yes,repeal.no,repeal.blank,repeal59.yes,repeal59.no,repeal59.invalid,repeal59.blank,p.gov.rep,p.gov.dem,p.gov.slp,p.gov.prohib,p.gov.blank,p.pres.rep,p.pres.dem,p.pres.slp,p.pres.prohib,p.pres.blank,p.yes.59,p.no.59,p.blank.59,p.yes.60,p.no.60,p.blank.60,sumGov,sum60,
1,1,,1,613,391,10,479,503,1,5,27,528,361,126,359,451,0,9,0.47192118226601,0.495566502463054,0.000985221674876847,0.00492610837438424,0.0266009852216749,0.385221674876847,0.603940886699507,0.000985221674876847,0,0.00985221674876847,0.438339438339438,0.550671550671551,0.010989010989011,0.520197044334975,0.355665024630542,0.124137931034483,1015,1015,0
1,2,2,1,485,480,10,531,409,2,5,31,420,425,133,259,451,1,6,0.542944785276074,0.418200408997955,0.00204498977505112,0.00511247443762781,0.0316973415132924,0.49079754601227,0.495910020449898,0.00102249488752556,0.00204498977505112,0.0102249488752556,0.361227336122734,0.629009762900976,0.0097629009762901,0.429447852760736,0.434560327198364,0.1359918200409,978,978,0
1,3,,,417,597,4,721,273,2,5,17,331,605,82,169,625,0,3,0.708251473477407,0.268172888015717,0.00196463654223969,0.00491159135559921,0.0166994106090373,0.586444007858546,0.409626719056974,0,0,0.00392927308447937,0.212045169385194,0.784190715181932,0.00376411543287327,0.325147347740668,0.594302554027505,0.0805500982318271,1018,1018,0
1,4,2,4,489,614,4,662,420,4,6,21,472,495,146,285,508,1,10,0.594788858939802,0.377358490566038,0.00359389038634322,0.00539083557951482,0.0188679245283019,0.551662174303684,0.439353099730458,0.00359389038634322,0.00179694519317161,0.00359389038634322,0.354477611940298,0.6318407960199,0.013681592039801,0.4240790655885,0.444743935309973,0.131176999101527,1113,1113,0
1,5,,1,461,628,13,684,387,3,9,20,437,520,146,245,583,0,7,0.620126926563917,0.350861287398005,0.00271985494106981,0.00815956482320943,0.0181323662737987,0.56935630099728,0.417951042611061,0.000906618313689937,0,0.0117860380779692,0.293413173652695,0.698203592814371,0.00838323353293413,0.396192203082502,0.471441523118767,0.132366273798731,1103,1103,0
1,6,,1,534,589,13,659,449,3,4,22,515,483,139,289,515,0,6,0.579595426561126,0.394898856640281,0.00263852242744063,0.00351802990325418,0.019349164467898,0.518029903254178,0.469656992084433,0.000879507475813544,0,0.0114335971855761,0.35679012345679,0.635802469135802,0.00740740740740741,0.452946350043975,0.424802110817942,0.122251539138083,1137,1137,0
1,7,1,1,524,426,7,478,451,4,7,19,446,390,123,263,390,2,6,0.498435870698644,0.470281543274244,0.00417101147028154,0.0072992700729927,0.0198123044838373,0.444212721584984,0.546402502606882,0.00104275286757039,0.00104275286757039,0.0072992700729927,0.397881996974281,0.590015128593041,0.0121028744326778,0.465067778936392,0.40667361835245,0.128258602711157,959,959,0
1,8,,,368,710,9,766,296,4,6,15,394,588,105,182,632,0,7,0.704691812327507,0.272309107635695,0.00367985280588776,0.00551977920883165,0.0137994480220791,0.653173873045078,0.338546458141674,0,0,0.00827966881324747,0.221680876979293,0.76979293544458,0.00852618757612668,0.362465501379945,0.540938362465501,0.0965961361545538,1087,1087,0
1,9,,2,464,828,11,959,326,1,12,7,395,781,129,193,867,0,4,0.734865900383142,0.249808429118774,0.000766283524904215,0.00919540229885057,0.0053639846743295,0.63448275862069,0.355555555555556,0.00153256704980843,0,0.00842911877394636,0.181390977443609,0.81484962406015,0.0037593984962406,0.302681992337165,0.598467432950192,0.0988505747126437,1305,1305,0
1,10,,1,413,685,11,726,357,3,7,17,429,568,113,225,612,0,3,0.654054054054054,0.321621621621622,0.0027027027027027,0.00630630630630631,0.0153153153153153,0.617117117117117,0.372072072072072,0.000900900900900901,0,0.00990990990990991,0.267857142857143,0.728571428571429,0.00357142857142857,0.386486486486486,0.511711711711712,0.101801801801802,1110,1110,0
1,11,,1,461,620,6,659,408,2,6,13,509,453,126,234,515,0,7,0.605698529411765,0.375,0.00183823529411765,0.00551470588235294,0.0119485294117647,0.569852941176471,0.423713235294118,0.000919117647058824,0,0.00551470588235294,0.30952380952381,0.681216931216931,0.00925925925925926,0.467830882352941,0.416360294117647,0.115808823529412,1088,1088,0
2,1,,1,527,263,8,308,469,2,6,14,443,257,99,287,267,2,3,0.385481852315394,0.586983729662078,0.00250312891113892,0.00750938673341677,0.0175219023779725,0.329161451814768,0.659574468085106,0.00125156445556946,0,0.0100125156445557,0.513416815742397,0.477638640429338,0.00894454382826476,0.554443053817272,0.321652065081352,0.123904881101377,799,799,0
2,2,,,409,233,9,263,352,2,3,31,344,180,127,224,206,5,5,0.403993855606759,0.540706605222734,0.00307219662058372,0.00460829493087558,0.0476190476190476,0.357910906298003,0.62826420890937,0,0,0.0138248847926267,0.509090909090909,0.468181818181818,0.0227272727272727,0.528417818740399,0.276497695852535,0.195084485407066,651,651,0
2,3,1,1,648,223,16,326,515,5,8,35,483,217,189,331,259,2,11,0.366704161979752,0.579302587176603,0.00562429696287964,0.00899887514060742,0.0393700787401575,0.250843644544432,0.728908886389201,0.00112485939257593,0.00112485939257593,0.0179977502812149,0.548922056384743,0.429519071310116,0.021558872305141,0.543307086614173,0.244094488188976,0.21259842519685,889,889,0
2,4,1,1,605,434,5,511,507,4,6,18,534,368,144,349,460,0,8,0.488527724665392,0.484703632887189,0.00382409177820268,0.00573613766730402,0.017208413001912,0.41491395793499,0.578393881453155,0.000956022944550669,0.000956022944550669,0.00478011472275335,0.427172582619339,0.563035495716034,0.00979192166462668,0.510516252390057,0.351816443594646,0.137667304015296,1046,1046,0
2,5,1,,483,287,9,351,403,5,2,19,437,251,92,226,237,0,4,0.45,0.516666666666667,0.00641025641025641,0.00256410256410256,0.0243589743589744,0.367948717948718,0.619230769230769,0,0.00128205128205128,0.0115384615384615,0.483940042826552,0.507494646680942,0.00856531049250535,0.56025641025641,0.321794871794872,0.117948717948718,780,780,0
2,6,,,542,219,4,251,487,2,4,21,455,202,108,291,192,0,7,0.328104575163399,0.636601307189542,0.00261437908496732,0.00522875816993464,0.0274509803921569,0.286274509803922,0.708496732026144,0,0,0.00522875816993464,0.593877551020408,0.391836734693877,0.0142857142857143,0.594771241830065,0.264052287581699,0.141176470588235,765,765,0
2,7,,,558,561,2,686,416,2,10,7,498,518,105,311,567,0,6,0.611953612845674,0.371097234611954,0.00178412132024978,0.00892060660124889,0.00624442462087422,0.500446030330062,0.497769848349688,0,0,0.00178412132024978,0.351809954751131,0.641402714932127,0.00678733031674208,0.444246208742194,0.462087421944692,0.0936663693131133,1121,1121,0
2,8,,1,393,561,5,630,298,5,5,22,394,474,92,212,575,0,4,0.65625,0.310416666666667,0.00520833333333333,0.00520833333333333,0.0229166666666667,0.584375,0.409375,0.00104166666666667,0,0.00520833333333333,0.268015170670038,0.72692793931732,0.00505689001264223,0.410416666666667,0.49375,0.0958333333333333,960,960,0
2,9,,1,515,566,4,641,417,5,7,16,518,456,112,307,537,0,3,0.5902394106814,0.383977900552486,0.00460405156537753,0.00644567219152855,0.0147329650092081,0.521178637200737,0.474217311233886,0.000920810313075507,0,0.00368324125230203,0.36245572609209,0.634002361275089,0.00354191263282172,0.476979742173112,0.419889502762431,0.103130755064457,1086,1086,0
2,10,,3,435,331,4,346,393,4,5,25,398,238,137,275,257,1,7,0.447606727037516,0.508408796895213,0.00517464424320828,0.00646830530401035,0.0323415265200517,0.428201811125485,0.5627425614489,0.00388098318240621,0,0.00517464424320828,0.509259259259259,0.475925925925926,0.0148148148148148,0.514877102199224,0.307891332470893,0.177231565329884,773,773,0
2,11,1,,666,376,7,466,561,4,4,15,583,321,146,427,348,2,4,0.443809523809524,0.534285714285714,0.00380952380952381,0.00380952380952381,0.0142857142857143,0.358095238095238,0.634285714285714,0,0.000952380952380952,0.00666666666666667,0.546734955185659,0.445582586427657,0.00768245838668374,0.555238095238095,0.305714285714286,0.139047619047619,1050,1050,0
